ID,Name,"Mini Description",Description,SKU,Price,"Compare Price","Price After Sale","On Sale",Stock,Category,Subcategory,"Image Name","All Images",Active,Featured,"Created At"
71,"Metropolis-Star Gate 288pcs","Step into a world of fantasy with the Metropolis Star Gate Building Set, a 288-piece magical set that adds elegance to any cityscape. Includes a graceful arch, a horse-drawn carriage, and two articula...","Step into a world of fantasy with the Metropolis Star Gate Building Set, a 288-piece magical set that adds elegance to any cityscape. Includes a graceful arch, a horse-drawn carriage, and two articulated mini-figures to encourage storytelling, fine motor skills, and imaginative play. Made from durable, non-toxic ABS plastic, and compatible with other Metropolis sets.

Features:

288 high-quality building bricks

Stargate Arch with curved elements and floral detailing

Buildable carriage with a white horse figure

2 articulated mini-figures (ceremonial attendants or guests)

Illustrated full-colour instruction manual

Enhances creativity, imaginative play, and fine motor skills

Made from durable, non-toxic ABS plastic

Suitable for children 6 years and above

Compatible with all major brick brands",M38-B1283,16,,16,No,48,"Building Blocks","City & Buildings",metropolis-star-gate-288pcs.webp,"metropolis-star-gate-288pcs.webp, metropolis-star-gate-288pcs-2.webp, metropolis-star-gate-288pcs-3.webp, metropolis-star-gate-288pcs-4.webp, metropolis-star-gate-288pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
72,"ModelBricks-1/44 J16 AIRCRAFT CARRIER （RU SU-30) 1041pcs","Discover the ModelBricks J16 SU-30 Aircraft Carrier building set, featuring 1041 pieces for a highly detailed military jet model. Measuring 19 inches long and 6.7 inches tall, it includes realistic de...","Discover the ModelBricks J16 SU-30 Aircraft Carrier building set, featuring 1041 pieces for a highly detailed military jet model. Measuring 19 inches long and 6.7 inches tall, it includes realistic details like the cockpit, wings, and engines. Comes with two pilot figures in blue uniforms and a green crocodile figure for added fun. Made from high-quality building blocks, this set combines dynamic play and display value, ideal for aviation and military model enthusiasts.

Features:

1041 high-quality building pieces

J16 SU-30 fighter jet model, 19 inches long × 6.7 inches tall

Two pilot figures in blue uniforms

Green crocodile figure as a fun addition

Realistic details including cockpit, wings, and engines

Moving parts for dynamic play and authentic display

Perfect for aviation and military model fans

Not suitable for children under 7 years due to small parts",M38-B1273,52,,52,No,24,"Building Blocks","Ships & Boats",modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs.webp,"modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs.webp, modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs-2.webp, modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs-3.webp, modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs-4.webp, modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs-5.webp, modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs-6.webp",Yes,No,"2026-01-08 13:36:10"
73,"Metropolis-D.C. Crowne Hotel 428pcs","Give kids an engaging building experience with the Metropolis D.C. Crowne Hotel set, featuring 428 pieces to construct a detailed hotel with realistic architectural elements like windows, doors, and h...","Give kids an engaging building experience with the Metropolis D.C. Crowne Hotel set, featuring 428 pieces to construct a detailed hotel with realistic architectural elements like windows, doors, and hotel amenities. Perfect for children aged 6 and up, this set promotes spatial awareness, problem-solving, and creativity.

Features:

428 high-quality building pieces

Detailed hotel design with windows, doors, and amenities

Encourages spatial awareness, problem-solving, and creativity

Suitable for children 6 years and above

Compatible with other Metropolis sets

Designed for both boys and girls

Made from durable, safe ABS plastic",M38-B1267,22,,22,No,48,"Building Blocks","City & Buildings",metropolis-dc-crowne-hotel-428pcs.webp,"metropolis-dc-crowne-hotel-428pcs.webp, metropolis-dc-crowne-hotel-428pcs-2.webp, metropolis-dc-crowne-hotel-428pcs-3.webp, metropolis-dc-crowne-hotel-428pcs-4.webp, metropolis-dc-crowne-hotel-428pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
74,"Metropolis-Slubucks 241pcs","Bring fun and creativity to your Metropolis city with the Slubucks Café Building Set, featuring 241 pieces to build a café with an ice cream cart and innovative mini-figures. Includes 3 figures with r...","Bring fun and creativity to your Metropolis city with the Slubucks Café Building Set, featuring 241 pieces to build a café with an ice cream cart and innovative mini-figures. Includes 3 figures with rotating and moving parts to encourage imaginative play. Made from high-quality, safe ABS plastic, compatible with other building sets from various brands.

Features:

241 high-quality building pieces

Café design with ice cream cart

3 innovative mini-figures with rotating and moving parts

Encourages creativity and imaginative play

Compatible with other building sets

Made from durable, safe ABS plastic

Includes illustrated, easy-to-follow assembly instructions",M38-B1266,14,,14,No,48,"Building Blocks","City & Buildings",metropolis-slubucks-241pcs.webp,"metropolis-slubucks-241pcs.webp, metropolis-slubucks-241pcs-2.webp, metropolis-slubucks-241pcs-3.webp, metropolis-slubucks-241pcs-4.webp, metropolis-slubucks-241pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
75,"Metropolis-Central Train Station 592pcs","Enjoy a detailed building experience with the Metropolis Central Train Station set, featuring 592 pieces and 7 innovative mini-figures with rotating and moving parts. Encourages creativity, imaginativ...","Enjoy a detailed building experience with the Metropolis Central Train Station set, featuring 592 pieces and 7 innovative mini-figures with rotating and moving parts. Encourages creativity, imaginative play, and building skills. Compatible with other building sets from various brands, made from high-quality, safe ABS plastic, and includes a colorful, easy-to-follow assembly manual.

Features:

592 high-quality building pieces

7 innovative mini-figures with rotating and moving parts

Realistic central train station design

Encourages creativity, imaginative play, and building skills

Compatible with other building sets from different brands

Made from durable, safe ABS plastic

Suitable for children 7 years and above

Includes illustrated, easy-to-follow assembly instructions",M38-B1263,39,,39,No,48,"Building Blocks","City & Buildings",metropolis-central-train-station-592pcs.webp,"metropolis-central-train-station-592pcs.webp, metropolis-central-train-station-592pcs-2.webp, metropolis-central-train-station-592pcs-3.webp, metropolis-central-train-station-592pcs-4.webp, metropolis-central-train-station-592pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
76,"Metropolis-New Energy Vehicle 4S Store 371pcs","Give kids a fun building experience with the Metropolis Energy Vehicle 4S Store set, featuring 371 pieces to construct a detailed store with an energy vehicle theme. Encourages creativity, imaginative...","Give kids a fun building experience with the Metropolis Energy Vehicle 4S Store set, featuring 371 pieces to construct a detailed store with an energy vehicle theme. Encourages creativity, imaginative play, and building skills. Made from high-quality, safe ABS plastic, suitable for boys and girls aged 6 years and above.

Features:

371 high-quality building pieces

4S store design with energy vehicle

Encourages creativity, imaginative play, and building skills

Suitable for children 6 years and above

Compatible with other Metropolis sets

Made from durable, safe ABS plastic

Designed for both boys and girls",M38-B1262,22,,22,No,48,"Building Blocks","City & Buildings",metropolis-new-energy-vehicle-4s-store-371pcs.webp,"metropolis-new-energy-vehicle-4s-store-371pcs.webp, metropolis-new-energy-vehicle-4s-store-371pcs-2.webp, metropolis-new-energy-vehicle-4s-store-371pcs-3.webp, metropolis-new-energy-vehicle-4s-store-371pcs-4.webp",Yes,No,"2026-01-08 13:36:10"
77,"Metropolis-New Energy Bus 239pcs","Enjoy educational building fun with the Metropolis New Energy Bus set, featuring 239 pieces to construct a detailed electric bus. Encourages creativity, imaginative play, and building skills. Suitable...","Enjoy educational building fun with the Metropolis New Energy Bus set, featuring 239 pieces to construct a detailed electric bus. Encourages creativity, imaginative play, and building skills. Suitable for boys and girls aged 6 to 14, perfect for fans of construction sets.

Features:

239 high-quality building pieces

Detailed electric bus design

Encourages creativity, imaginative play, and building skills

Suitable for children 6 to 14 years old

Compatible with other Metropolis sets

Made from durable, safe ABS plastic

Designed for both boys and girls",M38-B1261,14,,14,No,48,"Building Blocks",Vehicles,metropolis-new-energy-bus-239pcs.webp,"metropolis-new-energy-bus-239pcs.webp, metropolis-new-energy-bus-239pcs-2.webp, metropolis-new-energy-bus-239pcs-3.webp, metropolis-new-energy-bus-239pcs-4.webp, metropolis-new-energy-bus-239pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
78,"ARMY-OEF-Stryker ADS 310pcs","Discover tactical building fun with the Sluban OEF Stryker ADS set, featuring 310 pieces to construct a detailed military vehicle. Enhances fine motor skills, strategic thinking, and imaginative play....","Discover tactical building fun with the Sluban OEF Stryker ADS set, featuring 310 pieces to construct a detailed military vehicle. Enhances fine motor skills, strategic thinking, and imaginative play. Made from durable, safe ABS plastic, and comes with an easy-to-follow instruction manual.

⚠️ Safety Warning: Contains small pieces. Not suitable for children under 3 years. Adult supervision recommended.

Features:

310 high-quality building pieces

Stryker ADS military vehicle design

Enhances fine motor skills and strategic thinking

Encourages imaginative play

Made from durable, safe ABS plastic

Suitable for children 3 years and above

Includes clear and easy-to-follow assembly instructions",M38-B1258,17,,17,No,48,"Building Blocks",Military,army-oef-stryker-ads-310pcs.webp,"army-oef-stryker-ads-310pcs.webp, army-oef-stryker-ads-310pcs-2.webp, army-oef-stryker-ads-310pcs-3.webp, army-oef-stryker-ads-310pcs-4.webp, army-oef-stryker-ads-310pcs-5.webp",Yes,No,"2026-01-08 13:36:10"
79,"ARMY-OEF-M1XS Main Battle Tank 314pcs","Get ready for an exciting and tactical experience with the ARMY-OEF-M1XS Main Battle Tank! This set includes 314 buildable pieces, allowing you to assemble your very own tank with detailed realism. Th...","Get ready for an exciting and tactical experience with the ARMY-OEF-M1XS Main Battle Tank! This set includes 314 buildable pieces, allowing you to assemble your very own tank with detailed realism. The game is designed with durable and safe components, perfect for both kids and tactical game enthusiasts.

Unleash your creativity, learn basic engineering assembly skills, and enjoy hours of fun with this entertaining and educational toy.

Features:

314 buildable pieces

Realistic and dynamic design

Enhances assembly and strategic thinking skills

Suitable for all ages",M38-B1256,17,,17,No,48,"Building Blocks",Military,army-oef-m1xs-main-battle-tank-314pcs.webp,"army-oef-m1xs-main-battle-tank-314pcs.webp, army-oef-m1xs-main-battle-tank-314pcs-2.webp, army-oef-m1xs-main-battle-tank-314pcs-3.webp, army-oef-m1xs-main-battle-tank-314pcs-4.webp, army-oef-m1xs-main-battle-tank-314pcs-5.webp, army-oef-m1xs-main-battle-tank-314pcs-6.webp",Yes,No,"2026-01-08 13:36:10"
80,"PLEYERID-Music Box-LOVE CONFESSION        
","Enjoy building and creating your own world with the Sluban M38-P8015! This set includes high-quality pieces that allow children to develop assembly skills and creative thinking. The design encourages...","Enjoy building and creating your own world with the Sluban M38-P8015! This set includes high-quality pieces that allow children to develop assembly skills and creative thinking. The design encourages imagination and basic engineering skills, providing hours of fun and educational play.

Features:

High-quality, safe pieces

Enhances assembly and creative thinking skills

Fun and attractive design

Suitable for children of various ages",M38-P8015,31,,31,No,36,"Building Blocks","Flowers & Plants",pleyerid-music-box-love-confession.webp,"pleyerid-music-box-love-confession.webp, pleyerid-music-box-love-confession-2.webp",Yes,No,"2026-01-08 13:36:10"
81,"PLEYERID-Peacock(with Lighting)","Add a touch of charm and beauty to your room with the PLEYERID Peacock with Lighting! This product features a stunning design that combines the elegance of a peacock with special lighting, creating a...","Add a touch of charm and beauty to your room with the PLEYERID Peacock with Lighting! This product features a stunning design that combines the elegance of a peacock with special lighting, creating a romantic and beautiful ambiance wherever it is placed.

Features:

Attractive and realistic peacock design

Equipped with special lighting to create a magical atmosphere

Perfect for decoration or as a unique gift

High-quality and safe to use",M38-P8161,34,,34,No,36,"Building Blocks","Animals & Creatures",pleyerid-peacockwith-lighting.webp,"pleyerid-peacockwith-lighting.webp, pleyerid-peacockwith-lighting-2.webp, pleyerid-peacockwith-lighting-3.webp, pleyerid-peacockwith-lighting-4.webp, pleyerid-peacockwith-lighting-5.webp, pleyerid-peacockwith-lighting-6.webp, pleyerid-peacockwith-lighting-7.webp",Yes,No,"2026-01-08 13:36:10"
82,"PLEYERID-Swans(with Lighting) 932pcs","Enjoy building this stunning PLEYERID set consisting of 932 pieces. The design features intricate details that capture the elegance of swans and comes with a lighting system that adds a magical touch...","Enjoy building this stunning PLEYERID set consisting of 932 pieces. The design features intricate details that capture the elegance of swans and comes with a lighting system that adds a magical touch when illuminated. Perfect for building enthusiasts and as a decorative piece, it brings a unique artistic flair to any space.",M38-P8160,34,,34,No,36,"Building Blocks","Animals & Creatures",pleyerid-swanswith-lighting-932pcs.webp,"pleyerid-swanswith-lighting-932pcs.webp, pleyerid-swanswith-lighting-932pcs-2.webp, pleyerid-swanswith-lighting-932pcs-3.webp",Yes,No,"2026-01-08 13:36:10"
83,"PLEYERID-roses 313pcs","Enjoy building this exquisite PLEYERID set consisting of 313 pieces. The design features detailed craftsmanship that captures the natural beauty of roses. It’s perfect for building enthusiasts, artist...","Enjoy building this exquisite PLEYERID set consisting of 313 pieces. The design features detailed craftsmanship that captures the natural beauty of roses. It’s perfect for building enthusiasts, artistic decoration, or as a stylish gift that adds a touch of color and elegance to any space.",M38-P8070,15,,15,No,72,"Building Blocks","Flowers & Plants",pleyerid-roses-313pcs.webp,"pleyerid-roses-313pcs.webp, pleyerid-roses-313pcs-2.webp, pleyerid-roses-313pcs-3.webp",Yes,No,"2026-01-08 13:36:10"
84,"PLEYERID-Red roses（Plated vases）313pcs","Enjoy building this stunning PLEYERID set consisting of 313 pieces. The design features intricate details that capture the natural beauty of red roses and comes with an elegant plated vase that adds a...","Enjoy building this stunning PLEYERID set consisting of 313 pieces. The design features intricate details that capture the natural beauty of red roses and comes with an elegant plated vase that adds an artistic and aesthetic touch to any space. Perfect for building enthusiasts, art lovers, or as a unique gift.",M38-P8061,15,,15,No,72,"Building Blocks","Flowers & Plants",pleyerid-red-rosesplated-vases313pcs.webp,"pleyerid-red-rosesplated-vases313pcs.webp, pleyerid-red-rosesplated-vases313pcs-2.webp",Yes,No,"2026-01-08 13:36:10"
85,"PLEYERID-Hand-cranked merry-go-round  3 types (6 boxes in 1 display box)","Enjoy a delightful building experience with the PLEYERID Hand-Cranked Merry-Go-Round. The set features three different designs and operates with a manual hand-crank, adding a charming classic touch. O...","Enjoy a delightful building experience with the PLEYERID Hand-Cranked Merry-Go-Round. The set features three different designs and operates with a manual hand-crank, adding a charming classic touch. One display box includes 6 individual boxes, making it ideal for retail display or as a unique gift option. A creative design that combines motion, craftsmanship, and visual enjoyment.",M38-P8027,8,,8,No,27,"Building Blocks","Flowers & Plants",pleyerid-hand-cranked-merry-go-round-3-types-6-boxes-in-1-display-box.webp,"pleyerid-hand-cranked-merry-go-round-3-types-6-boxes-in-1-display-box.webp, pleyerid-hand-cranked-merry-go-round-3-types-6-boxes-in-1-display-box-2.webp, pleyerid-hand-cranked-merry-go-round-3-types-6-boxes-in-1-display-box-3.webp",Yes,No,"2026-01-08 13:36:10"
86,"PLEYERID-X-MIU-CAT 01        
","PLEYERID X MIU CAT 01 is a special edition piece that combines modern design with a bold, distinctive character.
Carefully crafted to balance simplicity and uniqueness, it features refined details tha...","PLEYERID X MIU CAT 01 is a special edition piece that combines modern design with a bold, distinctive character.
Carefully crafted to balance simplicity and uniqueness, it features refined details that reflect a contemporary and confident identity.

This piece is perfect for everyday wear or standout looks, offering a strong presence and a modern sense of style.
An ideal choice for those who appreciate individuality and thoughtful design.",M38-P8018,34,,34,No,18,"Building Blocks","Animals & Creatures",pleyerid-x-miu-cat-01.webp,"pleyerid-x-miu-cat-01.webp, pleyerid-x-miu-cat-01-2.webp",Yes,No,"2026-01-08 13:36:10"
87,"ModelBricks-1/350 USS MISSOURI S 1739pcs","The ModelBricks USS Missouri is a detailed building model of the legendary USS Missouri battleship, designed at a 1/350 scale and consisting of 1739 pieces.

This model offers an engaging and precise...","The ModelBricks USS Missouri is a detailed building model of the legendary USS Missouri battleship, designed at a 1/350 scale and consisting of 1739 pieces.

This model offers an engaging and precise building experience, featuring realistic details inspired by the original warship. It is ideal for model builders, naval history enthusiasts, and collectors.

Once completed, it makes an impressive display piece and is a great choice for enhancing focus, patience, and creativity.",M38-B1291,65,,65,No,0,"Building Blocks","Ships & Boats",modelbricks-1350-uss-missouri-s-1739pcs.webp,"modelbricks-1350-uss-missouri-s-1739pcs.webp, modelbricks-1350-uss-missouri-s-1739pcs-2.webp",Yes,No,"2026-01-08 13:36:10"
88,"PLEYERID-Music Box-SONATA OF LOVE","
is a harmonious expression of emotion and elegance. Inspired by the timeless beauty of music, this piece transforms sound into feeling, creating a romantic experience that speaks directly to the hear...","
is a harmonious expression of emotion and elegance. Inspired by the timeless beauty of music, this piece transforms sound into feeling, creating a romantic experience that speaks directly to the heart.
“Sonata of Love” represents a melody where passion, memories, and warmth come together, making it more than just a music box—it is a symbol of love, connection, and unforgettable moments.",M38-P8013,31,80,31,Yes,36,"Building Blocks","Flowers & Plants",pleyerid-music-box-sonata-of-love.webp,"pleyerid-music-box-sonata-of-love.webp, pleyerid-music-box-sonata-of-love-2.webp",Yes,No,"2026-01-08 13:36:11"
89,"POWER BRICKS-Formula car(Pull back) 210pcs","POWER BRICKS – Formula Car (Pull Back) – 210 PCS
is an exciting building set designed for speed lovers and creative minds. With 210 precision-fit pieces, this Formula-style car allows builders to asse...","POWER BRICKS – Formula Car (Pull Back) – 210 PCS
is an exciting building set designed for speed lovers and creative minds. With 210 precision-fit pieces, this Formula-style car allows builders to assemble a sleek racing vehicle equipped with a pull-back motor for dynamic movement.
The set encourages creativity, problem-solving, and hands-on play while delivering a thrilling racing experience. Perfect for young builders who enjoy construction, motion, and high-performance design.",M38-B1335,12,,12,No,72,"Building Blocks",Vehicles,power-bricks-formula-carpull-back-210pcs.webp,"power-bricks-formula-carpull-back-210pcs.webp, power-bricks-formula-carpull-back-210pcs-2.webp",Yes,No,"2026-01-08 13:36:11"
90,"POWER BRICKS-Vintage car(Pull back) 238pcs","POWER BRICKS – Vintage Car (Pull Back) – 238 PCS
brings classic automotive charm to life through an engaging building experience. Featuring 238 precisely designed pieces, this vintage-style car combin...","POWER BRICKS – Vintage Car (Pull Back) – 238 PCS
brings classic automotive charm to life through an engaging building experience. Featuring 238 precisely designed pieces, this vintage-style car combines timeless design with a pull-back motor for smooth and exciting movement.
The set encourages creativity, patience, and hands-on learning, making it an ideal choice for young builders and collectors who appreciate classic cars and interactive play.",M38-B1332,12,,12,No,72,"Building Blocks",Vehicles,power-bricks-vintage-carpull-back-238pcs.webp,power-bricks-vintage-carpull-back-238pcs.webp,Yes,No,"2026-01-08 13:36:11"
91,"ModelBricks-1/35 FOKKER DR-1S 281pcs","Experience precise and historical building with the MB WW1 Fokker DR-1S model kit, featuring 281 pieces to assemble a 1:35 scale replica of the iconic triplane flown by Manfred von Richthofen, the ""Re...","Experience precise and historical building with the MB WW1 Fokker DR-1S model kit, featuring 281 pieces to assemble a 1:35 scale replica of the iconic triplane flown by Manfred von Richthofen, the ""Red Baron."" Perfect for history enthusiasts and model collectors, enhancing assembly skills and attention to detail.

Features:

281 precision building pieces

Authentic WW1 Fokker DR-1S scale model

Ideal for history buffs and model enthusiasts

Enhances assembly skills and fine motor precision

Made from multi-coloured plastic

Scale: 1:35

Packaging dimensions: 300 × 190 × 68 mm






",M38-B1292,14,,14,No,72,"Building Blocks","City & Buildings",modelbricks-135-fokker-dr-1s-281pcs.webp,"modelbricks-135-fokker-dr-1s-281pcs.webp, modelbricks-135-fokker-dr-1s-281pcs-2.webp, modelbricks-135-fokker-dr-1s-281pcs-3.webp, modelbricks-135-fokker-dr-1s-281pcs-4.webp, modelbricks-135-fokker-dr-1s-281pcs-5.webp, modelbricks-135-fokker-dr-1s-281pcs-6.webp",Yes,No,"2026-01-08 13:36:11"
92,"PLEYERID-Blue Rose 238PCS","Give kids a fun and creative building experience with the Sluban Blue Rose set, featuring 238 pieces from the Pleyerid series. Children can design beautiful flowers and create imaginative structures,...","Give kids a fun and creative building experience with the Sluban Blue Rose set, featuring 238 pieces from the Pleyerid series. Children can design beautiful flowers and create imaginative structures, enhancing creativity, imagination, and fine motor skills. Suitable for boys and girls aged 10 and above.

Features:

238 high-quality building pieces

Attractive blue rose design

Enhances creativity, imagination, and fine motor skills

Part of the Pleyerid series

Made from safe ABS plastic, compatible with other Sluban sets

Suitable for children 10 years and above

Box dimensions: 22.3 × 9 × 9 cm",M38-B1101-11,10,,10,No,96,"Building Blocks","Flowers & Plants",pleyerid-blue-rose-238pcs.webp,"pleyerid-blue-rose-238pcs.webp, pleyerid-blue-rose-238pcs-2.webp, pleyerid-blue-rose-238pcs-3.webp, pleyerid-blue-rose-238pcs-4.webp",Yes,No,"2026-01-08 13:36:11"
93,"ModelBricks- Fishing-boat 610pcs","Enjoy an innovative building experience with the Sluban Fishing Boat set, featuring 610 pieces from the Model Bricks series. Children can construct a detailed fishing boat with fun and creative elemen...","Enjoy an innovative building experience with the Sluban Fishing Boat set, featuring 610 pieces from the Model Bricks series. Children can construct a detailed fishing boat with fun and creative elements. Purchasing this set also supports Kids with Cancer Australia, helping children with cancer.

Features:

610 high-quality building pieces

Detailed fishing boat design

Enhances creativity, imagination, and building skills

Part of the Model Bricks series

Made from safe ABS plastic, compatible with other Sluban sets

Supports children with cancer initiatives

Box dimensions: 38 × 28.5 × 6.7 cm",M38-B1119,25,,25,No,36,"Building Blocks","Ships & Boats",modelbricks-fishing-boat-610pcs.webp,"modelbricks-fishing-boat-610pcs.webp, modelbricks-fishing-boat-610pcs-2.webp, modelbricks-fishing-boat-610pcs-3.webp, modelbricks-fishing-boat-610pcs-4.webp",Yes,No,"2026-01-08 13:36:11"
94,"ModelBricks- The Great Shark  592pcs","Enjoy building the Sluban Great Shark Ship, featuring 592 pieces from the City series. An educational and creative toy suitable for children aged 6 and above, enhancing assembly skills, creativity, an...","Enjoy building the Sluban Great Shark Ship, featuring 592 pieces from the City series. An educational and creative toy suitable for children aged 6 and above, enhancing assembly skills, creativity, and logical thinking. Made from safe ABS plastic and comes with clear assembly instructions.

Features:

592 high-quality building pieces

Great Shark Ship design from the City series

Enhances creativity, imagination, and building skills

Suitable for children 6 years and above

Made from safe ABS plastic, compatible with other Sluban sets

Clear and easy-to-follow assembly instructions

⚠️ Warning: Not suitable for consumption",M38-B1118,25,,25,No,36,"Building Blocks","Ships & Boats",modelbricks-the-great-shark-592pcs.webp,"modelbricks-the-great-shark-592pcs.webp, modelbricks-the-great-shark-592pcs-2.webp, modelbricks-the-great-shark-592pcs-3.webp, modelbricks-the-great-shark-592pcs-4.webp",Yes,No,"2026-01-08 13:36:11"
95,"PLEYERID-Mechanical Bulldog","Enjoy an interactive building experience with the Sluban Bulldog Robot, featuring 890 pieces. This educational set is fun for children and adults alike, enhancing creativity, engineering thinking, and...","Enjoy an interactive building experience with the Sluban Bulldog Robot, featuring 890 pieces. This educational set is fun for children and adults alike, enhancing creativity, engineering thinking, and fine motor skills. Suitable for all ages, assembly required, no batteries needed.

Features:

890 high-quality building pieces

Modern and attractive Bulldog Robot design

Enhances creativity, engineering thinking, and assembly skills

Suitable for all ages

Made from safe ABS plastic, compatible with other Sluban sets

Assembly required with clear instructions

Color: Red",M38-B1112A,34,,34,No,18,"Building Blocks","Animals & Creatures",pleyerid-mechanical-bulldog.webp,"pleyerid-mechanical-bulldog.webp, pleyerid-mechanical-bulldog-2.webp, pleyerid-mechanical-bulldog-3.webp, pleyerid-mechanical-bulldog-4.webp",Yes,No,"2026-01-08 13:36:11"
96,"PLEYERID-Peony 198PCS","Discover the beauty of building the Sluban Peony, featuring 198 pieces from the Flowers series. An innovative set that can be combined with similar building kits from other major brands. Made from hig...","Discover the beauty of building the Sluban Peony, featuring 198 pieces from the Flowers series. An innovative set that can be combined with similar building kits from other major brands. Made from high-quality, safe ABS plastic, perfect as a gift or an attractive decorative piece.

Features:

198 high-quality building pieces

Attractive Peony flower design

Suitable as a gift or decorative display

Compatible with building kits from other manufacturers

Made from safe ABS plastic, compatible with other Sluban sets

Comes with clear assembly instructions",M38-B1101-17,10,,10,No,96,"Building Blocks","Flowers & Plants",pleyerid-peony-198pcs.webp,"pleyerid-peony-198pcs.webp, pleyerid-peony-198pcs-2.webp, pleyerid-peony-198pcs-3.webp, pleyerid-peony-198pcs-4.webp",Yes,No,"2026-01-08 13:36:11"
97,"PLEYERID-Daisy 255PCS","Enjoy building the Sluban Multicolor Clamp set, featuring 221 pieces. An innovative set suitable for children aged 3 and above, enhancing motor skills, imaginative play, and creativity. Compatible wit...","Enjoy building the Sluban Multicolor Clamp set, featuring 221 pieces. An innovative set suitable for children aged 3 and above, enhancing motor skills, imaginative play, and creativity. Compatible with most other building sets and comes with clear assembly instructions for an easy and fun experience.

Features:

221 high-quality building pieces

Fun and attractive multicolor design

Enhances motor skills, creativity, and imaginative play

Suitable for children 3 years and above

Compatible with most other building sets

Comes with clear and easy-to-follow assembly instructions

Made from safe ABS plastic meeting quality standards",M38-B1101-16,10,,10,No,96,"Building Blocks","Flowers & Plants",pleyerid-daisy-255pcs.webp,"pleyerid-daisy-255pcs.webp, pleyerid-daisy-255pcs-2.webp, pleyerid-daisy-255pcs-3.webp, pleyerid-daisy-255pcs-4.webp",Yes,No,"2026-01-08 13:36:11"
98,"PLEYERID-Lavender 258PCS","Bring a touch of Provence to your home with the Sluban Artificial Lavender Arrangement. This set includes an elegant white vase and lifelike lavender flowers in vibrant purple with green stems. Perfec...","Bring a touch of Provence to your home with the Sluban Artificial Lavender Arrangement. This set includes an elegant white vase and lifelike lavender flowers in vibrant purple with green stems. Perfect for living rooms, offices, or special occasions, it provides a timeless decorative accent without any maintenance.

Features:

Total height: 16.75"" (42.6 cm), Vase height: 8.5"" (21.6 cm), Vase width: 3.5"" (9 cm)

Vibrant colors: rich purple lavender with lifelike green stems

Made from high-quality artificial flowers with sturdy white plastic vase

Ideal for home, office, or special occasion decor

Permanent beauty with no maintenance required",M38-B1101-14,10,,10,No,96,"Building Blocks","Flowers & Plants",pleyerid-lavender-258pcs.webp,"pleyerid-lavender-258pcs.webp, pleyerid-lavender-258pcs-2.webp, pleyerid-lavender-258pcs-3.webp, pleyerid-lavender-258pcs-4.webp",Yes,No,"2026-01-08 13:36:11"
99,"PLEYERID-Freesia 241PCS","Add a touch of creativity to your child’s room with the Sluban Pleyerid Freesia Flower set, featuring 241 pieces. Encourages imaginative play, fine motor skills, constructive abilities, and visual thi...","Add a touch of creativity to your child’s room with the Sluban Pleyerid Freesia Flower set, featuring 241 pieces. Encourages imaginative play, fine motor skills, constructive abilities, and visual thinking, while being compatible with other popular building sets like Lego. Suitable for children aged 10 and above.

Features:

241 high-quality building pieces

Promotes imaginative play and creativity

Enhances fine motor skills and hand-eye coordination

Supports spatial awareness and visual thinking

Compatible with other popular building block sets

Includes easy-to-follow instructions

Suitable for children 10 years and above",M38-B1101-13,10,,10,No,96,"Building Blocks","Flowers & Plants",pleyerid-freesia-241pcs.webp,"pleyerid-freesia-241pcs.webp, pleyerid-freesia-241pcs-2.webp, pleyerid-freesia-241pcs-3.webp, pleyerid-freesia-241pcs-4.webp, pleyerid-freesia-241pcs-5.webp, pleyerid-freesia-241pcs-6.webp",Yes,No,"2026-01-08 13:36:11"
100,"ModelBricks- TITANIC 1/350(2370PCS)","Experience the grandeur of classic ships with the 2401-piece Big Shape Ship building set. Includes 2 major minifigures and recreates the luxury ship design with intricate details such as decks, funnel...","Experience the grandeur of classic ships with the 2401-piece Big Shape Ship building set. Includes 2 major minifigures and recreates the luxury ship design with intricate details such as decks, funnels, and elegant bases. Parts can be disassembled and reassembled to explore interior scenes, perfect for both children and adults, as well as collectors and history enthusiasts.

Features:

2401 high-quality building pieces

Includes 2 major minifigures

Intricate design replicating a classic ship

Hull can be disassembled and reassembled for interior details

Compatible with Lego sets

Suitable for children 6+ years and adults

Ideal gift for birthdays, Christmas, and special occasions

Full-color, easy-to-follow instruction manual",M38-B1122,108,,108,No,9,"Building Blocks","Ships & Boats",modelbricks-titanic-13502370pcs.webp,"modelbricks-titanic-13502370pcs.webp, modelbricks-titanic-13502370pcs-2.webp, modelbricks-titanic-13502370pcs-3.webp, modelbricks-titanic-13502370pcs-4.webp, modelbricks-titanic-13502370pcs-5.webp, modelbricks-titanic-13502370pcs-6.webp",Yes,No,"2026-01-08 13:36:11"
