ID,SKU,Slug,Name,"Name (AR)","Short Description","Short Description (AR)",Description,"Description (AR)",Category,Subcategory,Price,"Compare Price","Discount %",Stock,"Low Stock Threshold",Status,Featured,Color,"Color Hex","Available Sizes","Size Stock","Available Colors","Variant Stock","Product Group","Times Purchased","Avg Rating","Review Count","View Count","Primary Image","Created At","Updated At"
11,LAP-IP2706,lenovo-thinkpad-x1-carbon-gen-11,"Lenovo ThinkPad X1 Carbon Gen 11","لينوفو ثينك باد X1 كاربون الجيل 11","Business ultrabook with Intel vPro, 4G LTE, and legendary keyboard.","ألترابوك للأعمال مع إنتل vPro و4G LTE ولوحة مفاتيح أسطورية.","Business ultrabook with Intel vPro, 4G LTE, and legendary keyboard.","ألترابوك للأعمال مع إنتل vPro و4G LTE ولوحة مفاتيح أسطورية.",Electronics,Laptops,"1,699.00","2,430.00",30.1%,6,5,Active,No,,,,,,,,38,5.0,1,1120,lenovo-thinkpad-x1-carbon-gen-11.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
18,ACC-ZK4341,logitech-mx-master-3s,"Logitech MX Master 3S","لوجيتك MX ماستر 3S","Quiet clicks, 8K DPI sensor, and MagSpeed electromagnetic scrolling.","نقرات هادئة ومستشعر 8K DPI وتمرير كهرومغناطيسي MagSpeed.","Quiet clicks, 8K DPI sensor, and MagSpeed electromagnetic scrolling.","نقرات هادئة ومستشعر 8K DPI وتمرير كهرومغناطيسي MagSpeed.",Electronics,Accessories,99.00,165.00,40%,40,,Active,Yes,,,,,,,,178,4.9,145,3120,logitech-mx-master-3s.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
8,LAP-CE9476,macbook-pro-14-m3-pro,"MacBook Pro 14"" M3 Pro","ماك بوك برو 14 بوصة M3 برو","Apple silicon powerhouse with Liquid Retina XDR display and 18-hour battery.","قوة معالج أبل سيليكون مع شاشة ليكويد ريتينا XDR وبطارية 18 ساعة.","Apple silicon powerhouse with Liquid Retina XDR display and 18-hour battery.","قوة معالج أبل سيليكون مع شاشة ليكويد ريتينا XDR وبطارية 18 ساعة.",Electronics,Laptops,"1,999.00",,,8,5,Active,Yes,,,,,,,,89,4.9,67,2890,macbook-pro-14-m3-pro.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
40,ZP6-4328,mechanical-pencil-set,"Mechanical Pencil Set","طقم أقلام رصاص ميكانيكية","Set of 4 mechanical pencils with different lead sizes (0.3, 0.5, 0.7, 0.9mm). Includes lead refills and erasers.","طقم من 4 أقلام رصاص ميكانيكية بأحجام سن مختلفة (0.3، 0.5، 0.7، 0.9 ملم). يشمل عبوات سن وممحاة.","Set of 4 mechanical pencils with different lead sizes (0.3, 0.5, 0.7, 0.9mm). Includes lead refills and erasers.","طقم من 4 أقلام رصاص ميكانيكية بأحجام سن مختلفة (0.3، 0.5، 0.7، 0.9 ملم). يشمل عبوات سن وممحاة.",Stationery,"Office Supplies",12.00,27.00,55.6%,50,,Active,No,,,,,,,,39,4.1,20,438,mechanical-pencil-set.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
75,M38-B1263,metropolis-central-train-station-592pcs,"Metropolis-Central Train Station 592pcs","محطة القطار المركزية متروبوليس – طقم تركيب 592 قطعة","Enjoy a detailed building experience with the Metropolis Central Train Station set, featuring 592 pieces and 7 innovative mini-figures.","استمتع بتجربة بناء مفصلة مع طقم محطة القطار المركزية من سلسلة متروبوليس.","Enjoy a detailed building experience with the Metropolis Central Train Station set, featuring 592 pieces and 7 innovative mini-figures.","استمتع بتجربة بناء مفصلة مع طقم محطة القطار المركزية من سلسلة متروبوليس.","Building Blocks","City & Buildings",38.78,,,48,,Active,No,,,,,,,,87,5.0,1,140,metropolis-central-train-station-592pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
73,M38-B1267,metropolis-dc-crowne-hotel-428pcs,"Metropolis-D.C. Crowne Hotel 428pcs","فندق كراون متروبوليس – طقم تركيب 428 قطعة","Give kids an engaging building experience with the Metropolis D.C. Crowne Hotel set, featuring 428 pieces.","امنح الأطفال تجربة بناء ممتعة ومفصلة مع طقم تركيب فندق كراون من سلسلة متروبوليس.","Give kids an engaging building experience with the Metropolis D.C. Crowne Hotel set, featuring 428 pieces.","امنح الأطفال تجربة بناء ممتعة ومفصلة مع طقم تركيب فندق كراون من سلسلة متروبوليس.","Building Blocks","City & Buildings",21.54,,,48,,Active,No,,,,,,,,29,4.9,48,346,metropolis-dc-crowne-hotel-428pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
66,M38-B1268,metropolis-dc-department-store-718pcs,"Metropolis-D.C. Department Store 718pcs","متجر متروبوليس متعدد الأقسام – طقم تركيب 725 قطعة","The Metropolis Department Store Building Set is a beautifully detailed construction kit from the Metropolis series. Kids can build a complete shopping...","طقم تركيب متجر متروبوليس متعدد الأقسام هو مجموعة بناء رائعة من سلسلة Metropolis، تتيح للأطفال إنشاء متجر تسوق متكامل بتصميم أنيق وتفاصيل واقعية.","The Metropolis Department Store Building Set is a beautifully detailed construction kit from the Metropolis series. Kids can build a complete shopping store and even combine it with other sets like the Crowne Hotel to create a full city scene. Made from high-quality, durable ABS plastic, this set inspires creativity and imaginative play.","طقم تركيب متجر متروبوليس متعدد الأقسام هو مجموعة بناء رائعة من سلسلة Metropolis، تتيح للأطفال إنشاء متجر تسوق متكامل بتصميم أنيق وتفاصيل واقعية.","Building Blocks","City & Buildings",38.78,,,48,,Active,No,,,,,,,,99,4.3,4,157,metropolis-dc-department-store-718pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
67,M38-B1289,metropolis-delivery-truck-269pcs,"Metropolis-Delivery Truck 269pcs","شاحنة التوصيل متروبوليس – طقم تركيب 269 قطعة","The Metropolis Delivery Truck Building Set lets kids build a realistic delivery truck to add action and detail to their Metropolis city.","طقم تركيب شاحنة التوصيل من سلسلة متروبوليس يمنح الأطفال تجربة بناء ممتعة ومليئة بالتفاصيل.","The Metropolis Delivery Truck Building Set lets kids build a realistic delivery truck to add action and detail to their Metropolis city.","طقم تركيب شاحنة التوصيل من سلسلة متروبوليس يمنح الأطفال تجربة بناء ممتعة ومليئة بالتفاصيل.","Building Blocks",Vehicles,18.09,,,48,,Active,No,,,,,,,,83,3.5,39,366,metropolis-delivery-truck-269pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
69,M38-B1286,metropolis-ferris-wheel-504pcs,"Metropolis-Ferris Wheel 504pcs","عجلة فيريس متروبوليس – طقم تركيب 504 قطعة","Experience the funfair buzz with the Metropolis Ferris Wheel, a 504-piece set that brings life and creativity to any cityscape.","استمتع بأجواء الملاهي مع طقم تركيب عجلة فيريس من سلسلة متروبوليس، الذي يضم 504 قطعة.","Experience the funfair buzz with the Metropolis Ferris Wheel, a 504-piece set that brings life and creativity to any cityscape.","استمتع بأجواء الملاهي مع طقم تركيب عجلة فيريس من سلسلة متروبوليس، الذي يضم 504 قطعة.","Building Blocks","City & Buildings",21.54,,,48,,Active,No,,,,,,,,27,3.9,32,140,metropolis-ferris-wheel-504pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
77,M38-B1261,metropolis-new-energy-bus-239pcs,"Metropolis-New Energy Bus 239pcs","حافلة الطاقة الجديدة متروبوليس – طقم تركيب 239 قطعة","Enjoy educational building fun with the Metropolis New Energy Bus set, featuring 239 pieces.","استمتع بالبناء واللعب التعليمي مع طقم حافلة الطاقة الجديدة من سلسلة متروبوليس.","Enjoy educational building fun with the Metropolis New Energy Bus set, featuring 239 pieces.","استمتع بالبناء واللعب التعليمي مع طقم حافلة الطاقة الجديدة من سلسلة متروبوليس.","Building Blocks",Vehicles,13.78,,,48,,Active,No,,,,,,,,99,4.0,27,327,metropolis-new-energy-bus-239pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
76,M38-B1262,metropolis-new-energy-vehicle-4s-store-371pcs,"Metropolis-New Energy Vehicle 4S Store 371pcs","متجر الطاقة متروبوليس – طقم تركيب 371 قطعة","Give kids a fun building experience with the Metropolis Energy Vehicle 4S Store set, featuring 371 pieces.","امنح الأطفال تجربة بناء ممتعة مع طقم متجر الطاقة من سلسلة متروبوليس.","Give kids a fun building experience with the Metropolis Energy Vehicle 4S Store set, featuring 371 pieces.","امنح الأطفال تجربة بناء ممتعة مع طقم متجر الطاقة من سلسلة متروبوليس.","Building Blocks","City & Buildings",21.54,,,48,,Active,No,,,,,,,,10,5.0,41,108,metropolis-new-energy-vehicle-4s-store-371pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
68,M38-B1288,metropolis-rescue-vehiclepull-back-272pcs,"Metropolis-Rescue Vehicle(Pull back) 272pcs","مركبة الإنقاذ متروبوليس بسحب خلفي – طقم تركيب 272 قطعة","The Metropolis Rescue Vehicle Pull-Back Building Set offers kids a fun and interactive building experience with a pull-back motor feature.","طقم تركيب مركبة الإنقاذ من سلسلة متروبوليس يمنح الأطفال تجربة بناء ممتعة مع حركة إضافية بفضل خاصية السحب الخلفي.","The Metropolis Rescue Vehicle Pull-Back Building Set offers kids a fun and interactive building experience with a pull-back motor feature.","طقم تركيب مركبة الإنقاذ من سلسلة متروبوليس يمنح الأطفال تجربة بناء ممتعة مع حركة إضافية بفضل خاصية السحب الخلفي.","Building Blocks",Vehicles,18.09,,,48,,Active,No,,,,,,,,74,4.9,41,133,metropolis-rescue-vehiclepull-back-272pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
70,M38-B1285,metropolis-roller-coaster-448pcs,"Metropolis-Roller Coaster 448pcs","قطار الملاهي متروبوليس – طقم تركيب 448 قطعة","Step into the world of fun with the Metropolis Roller Coaster Building Set, a 448-piece amusement park kit.","استمتع بأجواء مدينة الملاهي مع طقم تركيب قطار الملاهي من سلسلة متروبوليس.","Step into the world of fun with the Metropolis Roller Coaster Building Set, a 448-piece amusement park kit.","استمتع بأجواء مدينة الملاهي مع طقم تركيب قطار الملاهي من سلسلة متروبوليس.","Building Blocks","City & Buildings",21.54,,,48,,Active,No,,,,,,,,12,3.9,29,243,metropolis-roller-coaster-448pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
74,M38-B1266,metropolis-slubucks-241pcs,"Metropolis-Slubucks 241pcs","مقهى سلوبوكس متروبوليس – طقم تركيب 241 قطعة","Bring fun and creativity to your Metropolis city with the Slubucks Café Building Set, featuring 241 pieces.","أضف لمسة من الحياة والمرح إلى مدينة متروبوليس مع طقم تركيب مقهى سلوبوكس.","Bring fun and creativity to your Metropolis city with the Slubucks Café Building Set, featuring 241 pieces.","أضف لمسة من الحياة والمرح إلى مدينة متروبوليس مع طقم تركيب مقهى سلوبوكس.","Building Blocks","City & Buildings",13.78,,,48,,Active,No,,,,,,,,25,3.9,44,125,metropolis-slubucks-241pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
71,M38-B1283,metropolis-star-gate-288pcs,"Metropolis-Star Gate 288pcs","بوابة النجوم متروبوليس – طقم تركيب 288 قطعة","Step into a world of fantasy with the Metropolis Star Gate Building Set, a 288-piece magical set.","اكتشف عالم الخيال مع طقم تركيب بوابة النجوم من سلسلة متروبوليس.","Step into a world of fantasy with the Metropolis Star Gate Building Set, a 288-piece magical set.","اكتشف عالم الخيال مع طقم تركيب بوابة النجوم من سلسلة متروبوليس.","Building Blocks","City & Buildings",16.37,,,48,,Active,No,,,,,,,,39,3.8,48,377,metropolis-star-gate-288pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
13,LAP-VY3297,microsoft-surface-laptop-5,"Microsoft Surface Laptop 5","مايكروسوفت سيرفس لابتوب 5","Sleek design with PixelSense touchscreen and all-day battery life.","تصميم أنيق مع شاشة لمس بكسل سينس وبطارية تدوم طوال اليوم.","Sleek design with PixelSense touchscreen and all-day battery life.","تصميم أنيق مع شاشة لمس بكسل سينس وبطارية تدوم طوال اليوم.",Electronics,Laptops,"1,299.00","3,250.00",60%,12,,Active,No,,,,,,,,52,4.4,38,1670,microsoft-surface-laptop-5.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
26,AZP-4829,minimalist-silver-bracelet,"Minimalist Silver Bracelet","سوار فضي بسيط","Elegant sterling silver bracelet with minimalist design. Adjustable chain length, hypoallergenic, perfect for everyday wear.","سوار فضة استرليني أنيق بتصميم بسيط. طول سلسلة قابل للتعديل، مضاد للحساسية، مثالي للاستخدام اليومي.","Elegant sterling silver bracelet with minimalist design. Adjustable chain length, hypoallergenic, perfect for everyday wear.","سوار فضة استرليني أنيق بتصميم بسيط. طول سلسلة قابل للتعديل، مضاد للحساسية، مثالي للاستخدام اليومي.",Fashion,"Women's Fashion",18.00,,,50,,Active,No,,,,,,,,39,4.1,13,293,minimalist-silver-bracelet.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
122,M38-B1192,modelbricks-135-ts-2-camping-265pcs,"ModelBricks- 1/35 TS-2 camping 265pcs","موديل بريكس – مركبة التخييم TS-2 بمقياس 1/35 – 265 قطعة","A compact and detailed building model inspired by outdoor adventure and travel.","هو نموذج تركيب مستوحى من أجواء التخييم والمغامرات الخارجية.","A compact and detailed building model inspired by outdoor adventure and travel.","هو نموذج تركيب مستوحى من أجواء التخييم والمغامرات الخارجية.","Building Blocks",Vehicles,12.92,,,48,,Active,No,,,,,,,,91,5.0,1,499,modelbricks-135-ts-2-camping-265pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:52"
93,M38-B1119,modelbricks-fishing-boat-610pcs,"ModelBricks- Fishing-boat 610pcs","قارب صيد – طقم تركيب 610 قطعة","Enjoy an innovative building experience with the Sluban Fishing Boat set.","استمتع بتجربة بناء مبتكرة مع طقم قارب الصيد من Sluban.","Enjoy an innovative building experience with the Sluban Fishing Boat set.","استمتع بتجربة بناء مبتكرة مع طقم قارب الصيد من Sluban.","Building Blocks","Ships & Boats",24.99,,,36,,Active,No,,,,,,,,58,3.5,16,308,modelbricks-fishing-boat-610pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
123,M38-B1132,modelbricks-r1250-ms-motorcycle-112-200pcs,"ModelBricks- R1250 MS Motorcycle 1/12 (200PCS)","موديل بريكس – دراجة نارية R1250 MS بمقياس 1/12 – 200 قطعة","A detailed construction model inspired by modern touring motorcycles.","هو نموذج تركيب دقيق مستوحى من الدراجات النارية الحديثة.","A detailed construction model inspired by modern touring motorcycles.","هو نموذج تركيب دقيق مستوحى من الدراجات النارية الحديثة.","Building Blocks",Vehicles,11.20,,,108,,Active,No,,,,,,,,66,3.9,14,436,modelbricks-r1250-ms-motorcycle-112-200pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
107,M38-B0955,modelbricks-racing-car-262pcs,"ModelBricks- Racing Car 262PCS","موديل بريكس – سيارة سباق – 262 قطعة","A dynamic building model inspired by high-performance racing cars.","هو نموذج تركيب مستوحى من سيارات السباق عالية الأداء.","A dynamic building model inspired by high-performance racing cars.","هو نموذج تركيب مستوحى من سيارات السباق عالية الأداء.","Building Blocks",Vehicles,12.06,,,72,,Active,No,,,,,,,,41,4.8,44,277,modelbricks-racing-car-262pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
106,M38-B0956,modelbricks-racing-car-283pcs,"ModelBricks- Racing Car 283PCS","موديل بريكس – سيارة سباق – 283 قطعة","An engaging construction model designed for fans of high-speed racing.","هو نموذج تركيب ممتع لعشاق سيارات السباق عالية السرعة.","An engaging construction model designed for fans of high-speed racing.","هو نموذج تركيب ممتع لعشاق سيارات السباق عالية السرعة.","Building Blocks",Vehicles,12.06,,,72,,Active,No,,,,,,,,66,4.7,23,326,modelbricks-racing-car-283pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
94,M38-B1118,modelbricks-the-great-shark-592pcs,"ModelBricks- The Great Shark 592pcs","سفينة القرش العظيمة – طقم تركيب 592 قطعة","Enjoy building the Sluban Great Shark Ship, featuring 592 pieces from the City series.","استمتع ببناء سفينة القرش العظيمة من Sluban.","Enjoy building the Sluban Great Shark Ship, featuring 592 pieces from the City series.","استمتع ببناء سفينة القرش العظيمة من Sluban.","Building Blocks","Ships & Boats",24.99,,,36,,Active,No,,,,,,,,82,4.8,49,361,modelbricks-the-great-shark-592pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
100,M38-B1122,modelbricks-titanic-13502370pcs,"ModelBricks- TITANIC 1/350(2370PCS)","طقم بناء سفينة كبيرة – 2401 قطعة مع شخصيتين صغيرتين","Experience the grandeur of classic ships with the 2401-piece Big Shape Ship building set.","استمتع بتجربة بناء السفن الكلاسيكية مع طقم البناء الكبير المكوّن من 2401 قطعة.","Experience the grandeur of classic ships with the 2401-piece Big Shape Ship building set.","استمتع بتجربة بناء السفن الكلاسيكية مع طقم البناء الكبير المكوّن من 2401 قطعة.","Building Blocks","Ships & Boats",107.75,,,9,,Active,No,,,,,,,,54,4.5,40,369,modelbricks-titanic-13502370pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
91,M38-B1292,modelbricks-135-fokker-dr-1s-281pcs,"ModelBricks-1/35 FOKKER DR-1S 281pcs","طائرة فوكر DR-1S الحرب العالمية الأولى – طقم تركيب 281 قطعة","Experience precise and historical building with the MB WW1 Fokker DR-1S model kit.","استمتع بتجربة بناء دقيقة وتاريخية مع طقم طائرة فوكر DR-1S.","Experience precise and historical building with the MB WW1 Fokker DR-1S model kit.","استمتع بتجربة بناء دقيقة وتاريخية مع طقم طائرة فوكر DR-1S.","Building Blocks","City & Buildings",13.78,,,72,,Active,No,,,,,,,,25,4.5,24,260,modelbricks-135-fokker-dr-1s-281pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
87,M38-B1291,modelbricks-1350-uss-missouri-s-1739pcs,"ModelBricks-1/350 USS MISSOURI S 1739pcs","موديل بريكس – نموذج تركيب لسفينة يو إس إس ميزوري – 1739 قطعة","The ModelBricks USS Missouri is a detailed building model of the legendary USS Missouri battleship.","قطعة ModelBricks USS Missouri هي نموذج تركيب تفصيلي لسفينة البارجة الأمريكية الشهيرة.","The ModelBricks USS Missouri is a detailed building model of the legendary USS Missouri battleship.","قطعة ModelBricks USS Missouri هي نموذج تركيب تفصيلي لسفينة البارجة الأمريكية الشهيرة.","Building Blocks","Ships & Boats",64.65,,,12,,Active,No,,,,,,,,51,4.3,42,130,modelbricks-1350-uss-missouri-s-1739pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
72,M38-B1273,modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs,"ModelBricks-1/44 J16 AIRCRAFT CARRIER (RU SU-30) 1041pcs","حاملة طائرات نموذجية J16 SU-30 – طقم تركيب 1041 قطعة","Discover the ModelBricks J16 SU-30 Aircraft Carrier building set, featuring 1041 pieces for a highly detailed military jet model.","اكتشف نموذج حاملة الطائرات J16 SU-30 من ModelBricks، طقم تركيب مكون من 1041 قطعة.","Discover the ModelBricks J16 SU-30 Aircraft Carrier building set, featuring 1041 pieces for a highly detailed military jet model.","اكتشف نموذج حاملة الطائرات J16 SU-30 من ModelBricks، طقم تركيب مكون من 1041 قطعة.","Building Blocks","Ships & Boats",51.72,,,24,,Active,No,,,,,,,,97,3.6,36,379,modelbricks-144-j16-aircraft-carrier-ru-su-30-1041pcs.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
7,PHN-GO7601,oneplus-12,"OnePlus 12","ون بلس 12","Flagship killer with Snapdragon 8 Gen 3 and 100W SUPERVOOC charging.","قاتل الهواتف الرائدة مع سناب دراجون 8 الجيل الثالث وشحن سوبر فوك 100 واط.","Flagship killer with Snapdragon 8 Gen 3 and 100W SUPERVOOC charging.","قاتل الهواتف الرائدة مع سناب دراجون 8 الجيل الثالث وشحن سوبر فوك 100 واط.",Electronics,Smartphones,799.00,,,28,,Active,No,,,,,,,,78,4.5,45,1340,oneplus-12.webp,"2026-01-26 10:26:50","2026-01-26 10:26:50"
5,PHN-ZF4337,oppo-reno-11-pro,"OPPO Reno 11 Pro","أوبو رينو 11 برو","Portrait expert with Hasselblad color science and 80W fast charging.","خبير البورتريه مع تقنية ألوان هاسيلبلاد وشحن سريع 80 واط.","Portrait expert with Hasselblad color science and 80W fast charging.","خبير البورتريه مع تقنية ألوان هاسيلبلاد وشحن سريع 80 واط.",Electronics,Smartphones,549.00,915.00,40%,42,,Active,No,,,,,,,,112,3.7,3,1560,oppo-reno-11-pro.webp,"2026-01-26 10:26:50","2026-01-26 10:26:52"
63,Q13-5805,organic-cotton-baby-blanket,"Organic Cotton Baby Blanket","بطانية أطفال قطن عضوي","100% GOTS certified organic cotton blanket. Hypoallergenic, soft, and breathable. Machine washable.","بطانية قطن عضوي 100% معتمدة من GOTS. مضادة للحساسية، ناعمة وقابلة للتنفس. قابلة للغسيل في الغسالة.","100% GOTS certified organic cotton blanket. Hypoallergenic, soft, and breathable. Machine washable.","بطانية قطن عضوي 100% معتمدة من GOTS. مضادة للحساسية، ناعمة وقابلة للتنفس. قابلة للغسيل في الغسالة.",Kids,"Kids' Clothing",22.00,,,35,,Active,No,,,,,,,,75,4.7,75,790,organic-cotton-baby-blanket.webp,"2026-01-26 10:26:50","2026-01-26 10:26:51"
92,M38-B1101-11,pleyerid-blue-rose-238pcs,"PLEYERID-Blue Rose 238PCS","زهرة زرقاء – طقم تركيب 238 قطعة","Give kids a fun and creative building experience with the Sluban Blue Rose set.","امنح الأطفال تجربة بناء ممتعة مع طقم زهرة زرقاء من Sluban.","Give kids a fun and creative building experience with the Sluban Blue Rose set.","امنح الأطفال تجربة بناء ممتعة مع طقم زهرة زرقاء من Sluban.","Building Blocks","Flowers & Plants",10.34,,,96,,Active,No,,,,,,,,12,4.4,37,114,pleyerid-blue-rose-238pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
97,M38-B1101-16,pleyerid-daisy-255pcs,"PLEYERID-Daisy 255PCS","طقم بناء قفل متعدد الألوان – 221 قطعة","Enjoy building the Sluban Multicolor Clamp set, featuring 221 pieces.","استمتع ببناء مجموعة القفل متعدد الألوان من Sluban.","Enjoy building the Sluban Multicolor Clamp set, featuring 221 pieces.","استمتع ببناء مجموعة القفل متعدد الألوان من Sluban.","Building Blocks","Flowers & Plants",10.34,,,96,,Active,No,,,,,,,,47,3.6,14,280,pleyerid-daisy-255pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
99,M38-B1101-13,pleyerid-freesia-241pcs,"PLEYERID-Freesia 241PCS","طقم بناء زهور فريزيا – 241 قطعة","Add a touch of creativity to your child's room with the Sluban Pleyerid Freesia Flower set.","أضف لمسة من الإبداع إلى غرفة طفلك مع طقم بناء زهور فريزيا.","Add a touch of creativity to your child's room with the Sluban Pleyerid Freesia Flower set.","أضف لمسة من الإبداع إلى غرفة طفلك مع طقم بناء زهور فريزيا.","Building Blocks","Flowers & Plants",10.34,,,96,,Active,No,,,,,,,,91,5.0,32,492,pleyerid-freesia-241pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
85,M38-P8027,pleyerid-hand-cranked-merry-go-round-3-types,"PLEYERID-Hand-cranked merry-go-round 3 types","PLEYERID - لعبة الدوّامة اليدوية (3 تصاميم مختلفة)","Enjoy a delightful building experience with the PLEYERID Hand-Cranked Merry-Go-Round.","استمتع بتجربة بناء ممتعة مع لعبة الدوّامة اليدوية من PLEYERID.","Enjoy a delightful building experience with the PLEYERID Hand-Cranked Merry-Go-Round.","استمتع بتجربة بناء ممتعة مع لعبة الدوّامة اليدوية من PLEYERID.","Building Blocks","Flowers & Plants",7.75,,,27,,Active,No,,,,,,,,47,3.9,25,167,pleyerid-hand-cranked-merry-go-round-3-types.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
98,M38-B1101-14,pleyerid-lavender-258pcs,"PLEYERID-Lavender 258PCS","ترتيب زهور الخزامى الصناعية مع إناء – ارتفاع 42.6 سم","Bring a touch of Provence to your home with the Sluban Artificial Lavender Arrangement.","أضف لمسة من جمال بروفانس إلى منزلك مع ترتيب زهور الخزامى الصناعية.","Bring a touch of Provence to your home with the Sluban Artificial Lavender Arrangement.","أضف لمسة من جمال بروفانس إلى منزلك مع ترتيب زهور الخزامى الصناعية.","Building Blocks","Flowers & Plants",10.34,,,96,,Active,No,,,,,,,,90,5.0,1,224,pleyerid-lavender-258pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:52"
101,M38-B1101-09,pleyerid-lilies-of-the-valley-253pcs,"PLEYERID-lilies of the valley 253PCS","طقم بناء أزهار زنبق الوادي مع فازة بيضاء – 42 سم","Bring a creative touch of nature into your home with the Lily of the Valley Building Block set.","أضف لمسة طبيعية وعملية إلى منزلك مع طقم بناء أزهار زنبق الوادي المبتكر.","Bring a creative touch of nature into your home with the Lily of the Valley Building Block set.","أضف لمسة طبيعية وعملية إلى منزلك مع طقم بناء أزهار زنبق الوادي المبتكر.","Building Blocks","Flowers & Plants",10.34,,,96,,Active,No,,,,,,,,74,4.5,48,150,pleyerid-lilies-of-the-valley-253pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
103,M38-B1101-06,pleyerid-lotus-258pcs,"PLEYERID-Lotus 258PCS","طقم بناء أزهار لوتس – 258 قطعة","Enjoy fun and educational building with the Lotus set from Sluban Pleyerid Flowers.","امنح الأطفال تجربة بناء ممتعة وتعليمية مع طقم أزهار اللوتس.","Enjoy fun and educational building with the Lotus set from Sluban Pleyerid Flowers.","امنح الأطفال تجربة بناء ممتعة وتعليمية مع طقم أزهار اللوتس.","Building Blocks","Flowers & Plants",10.34,,,96,,Active,No,,,,,,,,61,4.2,25,496,pleyerid-lotus-258pcs.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
95,M38-B1112A,pleyerid-mechanical-bulldog,"PLEYERID-Mechanical Bulldog","روبوت بولدوج – طقم تركيب 890 قطعة","Enjoy an interactive building experience with the Sluban Bulldog Robot, featuring 890 pieces.","استمتع بتجربة بناء تفاعلية مع روبوت بولدوج من Sluban.","Enjoy an interactive building experience with the Sluban Bulldog Robot, featuring 890 pieces.","استمتع بتجربة بناء تفاعلية مع روبوت بولدوج من Sluban.","Building Blocks","Animals & Creatures",33.61,,,18,,Active,No,,,,,,,,81,4.0,2,245,pleyerid-mechanical-bulldog.webp,"2026-01-26 10:26:51","2026-01-26 10:26:52"
80,M38-P8015,pleyerid-music-box-love-confession,"PLEYERID-Music Box-LOVE CONFESSION","بلاير آيد – صندوق الموسيقى – اعتراف الحب","Enjoy building and creating your own world with the Sluban M38-P8015! High-quality pieces that develop assembly skills.","استمتع ببناء وتشكيل عالمك الخاص مع Sluban M38-P8015!","Enjoy building and creating your own world with the Sluban M38-P8015! High-quality pieces that develop assembly skills.","استمتع ببناء وتشكيل عالمك الخاص مع Sluban M38-P8015!","Building Blocks","Flowers & Plants",31.03,,,36,,Active,No,,,,,,,,10,3.6,20,449,pleyerid-music-box-love-confession.webp,"2026-01-26 10:26:51","2026-01-26 10:26:51"
88,M38-P8013,pleyerid-music-box-sonata-of-love,"PLEYERID-Music Box-SONATA OF LOVE","بلايريد – صندوق موسيقي – سوناتا الحب","A harmonious expression of emotion and elegance inspired by the timeless beauty of music.","هو تجسيد متناغم للمشاعر والرقي. مستوحى من جمال الموسيقى الخالد.","A harmonious expression of emotion and elegance inspired by the timeless beauty of music.","هو تجسيد متناغم للمشاعر والرقي. مستوحى من جمال الموسيقى الخالد.","Building Blocks","Flowers & Plants",31.03,,,36,,Active,No,,,,,,,,62,5.0,1,412,pleyerid-music-box-sonata-of-love.webp,"2026-01-26 10:26:51","2026-01-26 10:26:52"
